Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,"Iran, Islamic Rep.",IRN,..,20.6338500976562,18.5687503814697,19.4454307556152,20.3052101135254,21.1460399627686,21.2445297241211,22.6655006408691,..,18.8211994171143,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Ireland,IRL,..,12.938889503479,11.9181032180786,12.2743225097656,12.612678527832,12.4752531051636,13.2124443054199,11.8775758743286,12.0236730575562,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Israel,ISR,..,15.8126955032349,18.0832595825195,18.0266132354736,18.2050952911377,18.1244068145752,18.1259078979492,15.7630271911621,16.4842472076416,17.5333347320557,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Italy,ITA,..,9.32159328460693,7.94384479522705,7.86237335205078,7.91769123077393,8.11164093017578,8.04736328125,7.4938817024231,7.43716192245483,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Jamaica,JAM,..,16.7966003417969,20.0514793395996,19.1451206207275,18.4025402069092,18.5839996337891,17.3139896392822,..,17.4179000854492,16.9328594207764,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Japan,JPN,..,..,8.37435340881348,8.19603538513184,8.15314960479736,8.12929344177246,8.14628219604492,7.29289722442627,7.41083431243896,7.52129125595093,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Jordan,JOR,..,..,..,12.1501598358154,11.1960496902466,9.82532024383545,9.94909000396729,..,9.72099018096924,9.68389987945557,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Kazakhstan,KAZ,..,14.6947145462036,16.8194580078125,19.6017456054688,14.3418827056885,17.90452003479,18.9601745605469,20.1649265289307,24.0871315002441,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Kenya,KEN,..,..,..,..,..,..,..,17.9213333129883,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Kiribati,KIR,..,..,13.747748374939,12.8880548477173,12.5488843917847,15.1397171020508,12.1936349868774,12.4564485549927,12.9096794128418,16.1209964752197,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,"Korea, Dem. People's Rep.",PRK,..,..,..,..,14.3320846557617,14.9720153808594,15.0340719223022,14.1713838577271,12.7598562240601,13.8555212020874,15.0775012969971,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,"Korea, Rep.",KOR,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Kuwait,KWT,..,..,..,11.2530069351196,11.8619890213013,12.1575479507446,12.8502998352051,12.4398012161255,12.0027570724487,12.263165473938,12.5796222686768,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Kyrgyz Republic,KGZ,..,..,19.0759449005127,20.6698703765869,19.6762943267822,20.1439247131348,20.0652179718018,20.8148975372314,19.7111740112305,20.9812488555908,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Lao PDR,LAO,..,7.295569896698,10.4693965911865,12.8905076980591,11.4389352798462,11.1683778762817,10.8316202163696,10.662220954895,11.5062065124512,9.8249340057373,9.80367183685303,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Latvia,LVA,..,14.6156311035156,15.2136878967285,14.7979717254639,14.9332962036133,14.8106212615967,15.0182876586914,13.7033176422119,12.6531772613525,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Lebanon,LBN,..,..,..,7.14896154403687,7.147536277771,8.04745483398438,8.14395332336426,9.89828586578369,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Lesotho,LSO,..,19.1415996551514,13.9359951019287,13.9976406097412,15.5313014984131,15.224591255188,13.825984954834,14.7712154388428,14.3879871368408,15.5426712036133,11.2622566223145,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Liberia,LBR,..,..,..,..,7.76910018920898,7.96435022354126,..,..,7.36619997024536,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Lithuania,LTU,..,15.3608303070068,14.4306173324585,13.9628229141235,13.6782789230347,13.3184099197388,13.275951385498,12.170557975769,12.7444953918457,..,..,..
