,Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
80,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guatemala,GTM,..,..,0.0306400004774332,0.0231100004166365,0.0295499991625547,0.0293799992650747,0.0264199990779161,0.0488799996674061,0.0586300007998943,0.0586300007998943,..,..
81,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guinea,GIN,..,..,..,..,,,,,,,..,..
82,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guinea-Bissau,GNB,..,..,..,..,,,,,,,..,..
83,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guyana,GUY,..,..,..,..,,,,,,,..,..
84,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Haiti,HTI,..,..,..,..,,,,,,,..,..
85,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Honduras,HND,..,0.0445300005376339,0.0149699999019504,..,0.0399399995803833,0.0639400035142899,0.059969998896122,0.059969998896122,0.059969998896122,0.059969998896122,..,..
86,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Hong Kong SAR, China",HKG,..,0.46492999792099,0.761829972267151,0.791499972343445,0.835189998149872,0.863300025463104,0.925570011138916,0.99235999584198,0.97026002407074,1.07288002967834,1.10338997840881,..
87,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Hungary,HUN,..,0.790960013866425,1.33958995342255,1.1798700094223,1.3170200586319,1.50775003433228,1.47291004657745,1.59251999855042,1.64379000663757,1.39472997188568,..,..
88,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Iceland,ISL,..,2.5720100402832,2.18138003349304,2.11011004447937,2.0836501121521,2.00080990791321,2.34017992019653,2.48639988899231,2.77874994277954,2.6003999710083,..,..
89,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,India,IND,..,0.756990015506744,0.693099975585938,0.669839978218079,0.666029989719391,0.660009980201721,0.659420013427734,0.645579993724823,0.645579993724823,0.645579993724823,..,..
90,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Indonesia,IDN,..,0.0676899999380112,..,0.245350003242493,0.238049998879433,0.226319998502731,0.271290004253387,0.280680000782013,0.280680000782013,0.280680000782013,..,..
91,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Iran, Islamic Rep.",IRN,..,..,0.393830001354218,..,0.759829998016357,0.774060010910034,0.788290023803711,0.7574700117111206,0.72664999961853,0.72664999961853,..,..
92,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Iraq,IRQ,..,..,0.0401699990034103,0.0373700000345707,0.0459600016474724,0.0427899993956089,0.032660000026226,0.0405299998819828,0.0406999997794628,0.0406999997794628,..,..
93,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ireland,IRL,..,1.08382999897003,1.1797399520874,1.17716002464294,1.24865996837616,1.10697996616364,1.16068005561829,1.14550995826721,1.11064994335175,0.962639987468719,..,..
94,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Isle of Man,IMN,..,..,..,..,,,,,,,..,..
95,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Israel,ISR,..,3.82651996612549,4.29840993881226,4.58822011947632,4.74306011199951,4.91450977325439,5.33098983764648,5.79681015014648,5.78276014328003,6.01923990249634,..,..
96,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Italy,ITA,..,1.00364005565643,1.33850002288818,1.36642003059387,1.37012994289398,1.42443001270294,1.461590051651,1.50660002231598,1.42657995223999,1.39014005661011,..,..
97,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Jamaica,JAM,..,..,..,..,,,,,,,..,..
